"sample","theiacov_wf","r1","r2","primers"
"V350083755C_L01_10_10","illumina_pe","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_10_10_1.fq.gz","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_10_10_2.fq.gz","/home/MegaBOLT/Downloads/dec22/artic-v3.primers.bed"
"V350083755C_L01_11_11","illumina_pe","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_11_11_1.fq.gz","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_11_11_2.fq.gz","/home/MegaBOLT/Downloads/dec22/artic-v3.primers.bed"
"V350083755C_L01_12_12","illumina_pe","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_12_12_1.fq.gz","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_12_12_2.fq.gz","/home/MegaBOLT/Downloads/dec22/artic-v3.primers.bed"
"V350083755C_L01_13_13","illumina_pe","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_13_13_1.fq.gz","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_13_13_2.fq.gz","/home/MegaBOLT/Downloads/dec22/artic-v3.primers.bed"
"V350083755C_L01_14_14","illumina_pe","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_14_14_1.fq.gz","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_14_14_2.fq.gz","/home/MegaBOLT/Downloads/dec22/artic-v3.primers.bed"
"V350083755C_L01_15_15","illumina_pe","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_15_15_1.fq.gz","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_15_15_2.fq.gz","/home/MegaBOLT/Downloads/dec22/artic-v3.primers.bed"
"V350083755C_L01_16_16","illumina_pe","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_16_16_1.fq.gz","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_16_16_2.fq.gz","/home/MegaBOLT/Downloads/dec22/artic-v3.primers.bed"
"V350083755C_L01_17_17","illumina_pe","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_17_17_1.fq.gz","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_17_17_2.fq.gz","/home/MegaBOLT/Downloads/dec22/artic-v3.primers.bed"
"V350083755C_L01_18_18","illumina_pe","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_18_18_1.fq.gz","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_18_18_2.fq.gz","/home/MegaBOLT/Downloads/dec22/artic-v3.primers.bed"
"V350083755C_L01_19_19","illumina_pe","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_19_19_1.fq.gz","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_19_19_2.fq.gz","/home/MegaBOLT/Downloads/dec22/artic-v3.primers.bed"
"V350083755C_L01_1_1","illumina_pe","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_1_1_1.fq.gz","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_1_1_2.fq.gz","/home/MegaBOLT/Downloads/dec22/artic-v3.primers.bed"
"V350083755C_L01_20_20","illumina_pe","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_20_20_1.fq.gz","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_20_20_2.fq.gz","/home/MegaBOLT/Downloads/dec22/artic-v3.primers.bed"
"V350083755C_L01_2_2","illumina_pe","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_2_2_1.fq.gz","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_2_2_2.fq.gz","/home/MegaBOLT/Downloads/dec22/artic-v3.primers.bed"
"V350083755C_L01_3_3","illumina_pe","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_3_3_1.fq.gz","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_3_3_2.fq.gz","/home/MegaBOLT/Downloads/dec22/artic-v3.primers.bed"
"V350083755C_L01_4_4","illumina_pe","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_4_4_1.fq.gz","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_4_4_2.fq.gz","/home/MegaBOLT/Downloads/dec22/artic-v3.primers.bed"
"V350083755C_L01_5_5","illumina_pe","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_5_5_1.fq.gz","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_5_5_2.fq.gz","/home/MegaBOLT/Downloads/dec22/artic-v3.primers.bed"
"V350083755C_L01_6_6","illumina_pe","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_6_6_1.fq.gz","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_6_6_2.fq.gz","/home/MegaBOLT/Downloads/dec22/artic-v3.primers.bed"
"V350083755C_L01_7_7","illumina_pe","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_7_7_1.fq.gz","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_7_7_2.fq.gz","/home/MegaBOLT/Downloads/dec22/artic-v3.primers.bed"
"V350083755C_L01_8_8","illumina_pe","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_8_8_1.fq.gz","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_8_8_2.fq.gz","/home/MegaBOLT/Downloads/dec22/artic-v3.primers.bed"
"V350083755C_L01_9_9","illumina_pe","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_9_9_1.fq.gz","/data/storeData/ztron/rawdata/C21304100210003/V350083755C/L01/V350083755C_L01_9_9_2.fq.gz","/home/MegaBOLT/Downloads/dec22/artic-v3.primers.bed"
